queue_position,bags,vehicle_type,arrival_hour,avg_service_minutes,weather_delay_minutes,workers_available,warehouse_load_percent,day_of_week,festival_season,expected_wait_minutes
164,134,Truck,17,12,7,4,37,Saturday,0,1398
174,778,Truck,15,17,1,1,31,Tuesday,0,2085
130,636,Truck,14,10,22,9,73,Tuesday,1,978
151,304,Truck,18,9,22,7,63,Wednesday,0,1005
56,1000,MiniTruck,7,6,12,2,65,Wednesday,1,300
12,767,Pickup,14,7,29,7,30,Friday,1,125
161,653,MiniTruck,15,10,22,2,25,Saturday,0,1177
198,316,Truck,19,11,27,2,68,Wednesday,1,1621
163,874,MiniTruck,8,15,11,4,54,Saturday,0,1748
156,670,Tractor,14,11,5,8,68,Wednesday,0,1221
176,352,Truck,9,5,25,6,71,Wednesday,0,683
55,955,MiniTruck,9,19,12,8,38,Wednesday,0,750
64,782,MiniTruck,17,17,28,10,71,Wednesday,0,823
36,541,Pickup,7,5,27,2,39,Saturday,0,193
175,452,Truck,12,16,19,8,87,Wednesday,0,2017
175,758,Truck,16,12,24,6,34,Wednesday,1,1532
41,484,Truck,17,12,16,3,84,Monday,1,424
164,539,Tractor,8,15,24,3,89,Friday,0,1805
154,351,Pickup,6,7,29,6,59,Tuesday,0,824
62,919,Truck,7,19,26,2,88,Tuesday,0,914
169,506,Tractor,10,20,27,10,74,Tuesday,0,2427
183,339,Pickup,16,15,14,9,77,Monday,0,1960
58,85,MiniTruck,6,11,18,4,20,Monday,0,480
59,89,Truck,19,14,2,9,50,Wednesday,1,595
55,572,Tractor,17,19,7,8,72,Tuesday,0,757
25,694,Pickup,11,17,13,8,26,Saturday,0,312
16,432,MiniTruck,18,7,7,4,44,Friday,1,117
36,452,Tractor,10,18,7,2,76,Friday,0,499
13,687,Truck,7,11,5,7,82,Thursday,0,130
103,944,Truck,8,16,0,7,53,Thursday,1,1174
109,733,Pickup,8,10,9,4,27,Friday,0,782
192,341,Truck,6,19,16,9,40,Monday,0,2578
48,90,Truck,16,11,12,2,92,Tuesday,0,433
159,103,Pickup,16,20,10,5,46,Saturday,1,2269
62,291,Pickup,8,13,14,6,29,Monday,1,603
160,596,Truck,7,10,16,5,36,Wednesday,0,1155
63,398,MiniTruck,8,18,26,9,58,Friday,0,847
171,856,MiniTruck,20,7,30,3,53,Monday,0,915
191,586,Tractor,10,13,19,4,63,Tuesday,1,1810
130,520,MiniTruck,20,5,2,7,55,Monday,0,465
86,809,Tractor,16,12,5,8,90,Saturday,1,768
144,29,Truck,7,8,17,1,67,Friday,0,870
111,150,Truck,10,15,28,1,65,Tuesday,0,1251
171,125,MiniTruck,18,17,19,3,50,Tuesday,0,2088
106,45,Tractor,17,14,25,7,51,Wednesday,0,1093
180,130,Pickup,19,5,27,8,48,Tuesday,1,699
90,332,Tractor,9,4,21,4,71,Wednesday,1,332
18,811,MiniTruck,11,20,12,9,62,Monday,0,280
67,202,MiniTruck,6,7,19,7,64,Saturday,1,392
112,640,Truck,12,10,8,1,75,Monday,0,834
94,461,Truck,16,14,19,6,35,Saturday,1,973
130,336,Pickup,11,16,22,5,90,Tuesday,0,1530
108,700,Pickup,16,9,19,10,58,Thursday,0,717
78,313,Tractor,12,14,14,8,76,Saturday,0,806
131,504,Tractor,16,6,9,9,99,Wednesday,0,590
193,260,MiniTruck,9,10,4,1,25,Tuesday,1,1383
157,890,Truck,13,17,28,10,44,Saturday,1,1931
127,429,Tractor,8,4,28,2,74,Tuesday,0,442
179,550,Pickup,6,11,29,2,78,Tuesday,1,1484
171,563,MiniTruck,18,18,19,9,74,Friday,1,2217
41,781,Pickup,13,12,24,4,55,Friday,1,422
161,264,MiniTruck,13,6,22,5,50,Wednesday,1,745
82,934,Truck,8,8,7,7,39,Saturday,0,471
17,444,Pickup,11,18,13,1,46,Thursday,1,275
198,618,Truck,19,16,15,1,65,Wednesday,1,2292
108,571,Tractor,13,11,8,7,82,Monday,1,882
