variety,total_bags,damaged,wet,moisture_pct,humidity_pct,rain_risk_pct,source
Jasmine,117,3,4,11.6,67,31,inspection
Jasmine,439,21,0,16.2,55,75,inspection
IR-64,179,4,5,14.2,51,71,inspection
Ponni,274,22,0,12.7,87,35,inspection
IR-64,417,12,15,13.7,67,19,inspection
Sona Masoori,107,6,4,13.5,72,44,inspection
Jasmine,295,17,12,14.3,74,10,inspection
Ponni,245,3,2,14.6,95,8,inspection
Basmati,100,3,3,16.0,56,48,inspection
Basmati,143,4,6,13.5,63,85,inspection
Jasmine,96,7,0,14.7,60,68,inspection
Swarna,198,11,6,16.7,90,88,inspection
Sona Masoori,177,6,1,15.9,70,51,inspection
Ponni,427,19,19,13.2,91,63,inspection
Swarna,133,8,1,12.9,65,95,inspection
Ponni,279,8,13,16.3,75,46,inspection
Ponni,312,7,2,12.0,53,14,inspection
Jasmine,276,17,6,14.7,74,48,inspection
Basmati,343,25,11,16.1,50,87,inspection
Ponni,444,8,9,12.9,91,43,inspection
Swarna,61,4,1,16.6,66,64,inspection
Sona Masoori,380,24,2,13.1,90,64,inspection
IR-64,336,21,8,16.6,83,0,inspection
Sona Masoori,245,3,10,16.2,69,30,inspection
Sona Masoori,103,8,0,15.4,54,68,inspection
Swarna,341,16,3,12.4,83,77,inspection
Ponni,446,16,22,15.4,62,91,inspection
Jasmine,251,5,2,13.8,83,57,inspection
Basmati,70,2,0,14.6,64,75,inspection
Jasmine,90,1,1,12.7,52,42,inspection
Jasmine,308,29,8,12.6,58,92,inspection
Swarna,184,3,6,15.7,76,24,inspection
Basmati,276,18,8,13.7,53,86,inspection
Sona Masoori,266,7,7,15.4,56,31,inspection
IR-64,276,24,1,12.5,79,31,inspection
Ponni,110,10,5,11.8,84,1,inspection
IR-64,145,12,6,13.7,80,27,inspection
IR-64,254,23,9,11.5,74,33,inspection
Basmati,276,20,2,15.2,85,84,inspection
Basmati,171,10,6,16.6,87,94,inspection
Sona Masoori,85,2,4,14.6,82,67,inspection
Sona Masoori,495,35,5,12.5,88,8,inspection
Sona Masoori,351,23,7,12.8,88,5,inspection
Ponni,349,24,5,14.3,66,26,inspection
Basmati,262,13,12,12.2,91,38,inspection
Sona Masoori,64,1,0,13.9,86,12,inspection
Basmati,127,5,1,16.4,54,31,inspection
Ponni,420,4,17,13.1,91,67,inspection
Basmati,399,8,2,12.0,58,33,inspection
Ponni,139,10,1,12.9,88,26,inspection
Jasmine,496,45,20,12.9,81,32,inspection
Sona Masoori,384,3,14,13.7,67,5,inspection
Jasmine,194,14,5,12.4,78,70,inspection
Sona Masoori,98,5,4,16.5,94,19,inspection
Ponni,342,12,15,12.3,58,5,inspection
Sona Masoori,243,4,9,12.6,65,85,inspection
Swarna,377,36,15,15.5,65,20,inspection
Swarna,72,5,3,12.5,71,52,inspection
IR-64,196,8,0,12.3,94,13,inspection
Swarna,173,6,6,12.6,79,44,inspection
IR-64,174,6,7,11.6,62,51,inspection
Basmati,239,23,6,14.9,75,86,inspection
Sona Masoori,119,7,5,16.1,66,22,inspection
Sona Masoori,115,9,2,14.7,72,93,inspection
Ponni,119,3,4,13.5,86,24,inspection
Sona Masoori,326,24,12,16.4,84,87,inspection
Jasmine,160,14,4,13.4,54,85,inspection
Jasmine,494,18,10,12.2,69,64,inspection
Swarna,416,19,19,13.1,58,24,inspection
Jasmine,443,16,12,16.3,89,72,inspection
Sona Masoori,215,13,3,13.0,77,74,inspection
Swarna,286,23,13,15.1,82,60,inspection
Jasmine,146,10,4,15.0,68,65,inspection
Sona Masoori,479,18,19,16.5,65,86,inspection
IR-64,72,6,0,11.7,80,78,inspection
Swarna,382,17,7,14.6,95,89,inspection
IR-64,395,11,15,15.1,56,54,inspection
Jasmine,325,30,1,14.0,85,31,inspection
IR-64,470,29,22,14.0,83,71,inspection
Swarna,373,31,10,15.8,82,54,inspection
IR-64,440,34,18,16.1,78,33,inspection
Basmati,452,14,9,15.6,81,80,inspection
Jasmine,206,18,0,12.7,71,40,inspection
IR-64,178,5,3,13.5,59,90,inspection
Basmati,337,28,6,14.0,53,26,inspection
Ponni,416,22,19,11.6,86,48,inspection
Basmati,445,34,12,13.6,76,68,inspection
Ponni,172,9,3,14.1,67,55,inspection
Jasmine,407,37,19,15.7,60,59,inspection
Ponni,73,5,0,16.3,87,72,inspection
Swarna,129,4,2,16.1,61,6,inspection
Swarna,227,17,9,13.3,74,35,inspection
Basmati,487,28,24,11.9,51,95,inspection
Basmati,174,13,8,14.9,91,5,inspection
IR-64,489,10,16,11.6,59,30,inspection
Ponni,171,4,5,14.0,66,47,inspection
Jasmine,427,8,0,12.1,60,39,inspection
Basmati,354,33,3,15.1,74,50,inspection
Ponni,413,30,6,15.9,65,13,inspection
Jasmine,367,15,7,15.8,86,5,inspection
Basmati,95,8,3,14.2,71,1,inspection
Sona Masoori,281,20,6,16.6,90,58,inspection
Jasmine,327,27,8,16.6,67,78,inspection
Swarna,298,11,3,13.8,87,34,inspection
Sona Masoori,202,12,6,16.2,65,59,inspection
Basmati,74,3,1,14.1,70,23,inspection
Basmati,234,20,6,13.0,88,89,inspection
Ponni,157,9,1,12.0,76,62,inspection
Swarna,390,7,4,15.3,78,2,inspection
Jasmine,184,9,4,13.1,87,47,inspection
Swarna,441,22,6,14.4,72,89,inspection
IR-64,121,9,5,15.3,70,15,inspection
Jasmine,154,11,7,12.5,80,35,inspection
Ponni,365,13,6,13.0,56,24,inspection
Basmati,67,0,0,15.3,58,35,inspection
Basmati,417,8,0,16.5,90,62,inspection
Basmati,300,29,3,14.0,71,23,inspection
Swarna,118,1,3,15.9,75,62,inspection
Sona Masoori,137,2,1,12.3,86,38,inspection
Ponni,451,13,11,13.7,88,79,inspection
Swarna,286,10,8,13.1,87,54,inspection
Ponni,438,12,14,12.0,63,80,inspection
IR-64,182,1,4,12.4,54,20,inspection
Ponni,300,22,10,13.0,64,36,inspection
Swarna,96,6,3,15.1,66,80,inspection
IR-64,277,6,3,12.1,64,82,inspection
IR-64,96,7,2,11.8,69,76,inspection
Basmati,284,20,13,12.2,94,38,inspection
Ponni,336,4,7,14.1,55,76,inspection
Basmati,369,35,15,12.8,55,29,inspection
Ponni,360,22,13,16.5,93,34,inspection
IR-64,300,7,8,14.3,78,35,inspection
Jasmine,476,19,7,14.1,55,60,inspection
Jasmine,113,8,1,16.0,71,52,inspection
Swarna,476,8,6,15.5,52,58,inspection
Sona Masoori,455,31,12,13.6,82,0,inspection
Swarna,87,6,2,12.5,73,79,inspection
Sona Masoori,164,8,5,12.9,58,36,inspection
Sona Masoori,74,5,1,16.7,88,30,inspection
Sona Masoori,342,17,2,13.7,64,14,inspection
IR-64,315,23,6,16.4,68,65,inspection
Swarna,301,13,13,12.8,85,18,inspection
Ponni,442,35,18,16.2,54,35,inspection
Basmati,463,34,19,14.2,50,36,inspection
Ponni,397,23,6,14.1,59,57,inspection
Ponni,450,39,22,14.4,79,41,inspection
IR-64,352,13,8,13.5,76,5,inspection
Swarna,257,14,0,16.7,91,19,inspection
Ponni,362,6,16,13.3,56,56,inspection
Sona Masoori,429,7,16,12.3,91,19,inspection
Basmati,233,4,3,14.8,75,83,inspection
Jasmine,499,37,18,14.3,70,80,inspection
Ponni,78,5,1,14.8,65,80,inspection
IR-64,442,32,2,12.0,56,81,inspection
IR-64,415,16,1,13.1,51,5,inspection
Basmati,251,11,8,13.8,65,67,inspection
IR-64,147,9,1,12.4,89,48,inspection
Ponni,133,6,4,12.7,90,32,inspection
Swarna,207,10,3,15.1,60,9,inspection
Ponni,213,6,9,14.9,77,88,inspection
IR-64,256,11,4,16.0,56,30,inspection
Basmati,418,14,11,13.1,92,50,inspection
Jasmine,458,35,19,15.4,53,77,inspection
Basmati,457,13,4,15.7,88,45,inspection
Basmati,407,34,12,15.5,92,87,inspection
Jasmine,390,24,14,11.7,78,4,inspection
Sona Masoori,211,5,8,13.2,76,22,inspection
Basmati,331,10,13,14.2,67,21,inspection
Swarna,472,24,1,13.1,71,14,inspection
IR-64,500,48,20,15.1,93,50,inspection
Basmati,106,6,2,15.7,50,33,inspection
Jasmine,443,37,20,15.1,87,48,inspection
Sona Masoori,405,36,11,12.7,51,79,inspection
Ponni,173,15,2,14.9,90,59,inspection
Swarna,119,11,0,12.2,52,38,inspection
IR-64,335,23,12,12.2,79,47,inspection
Ponni,274,18,11,14.6,59,53,inspection
Ponni,268,19,2,16.5,67,4,inspection
Swarna,180,7,8,16.0,56,87,inspection
Jasmine,243,23,11,11.8,67,24,inspection
Swarna,106,6,0,15.0,91,81,inspection
Basmati,184,2,7,16.7,86,26,inspection
IR-64,360,28,14,12.6,64,42,inspection
Ponni,61,3,2,13.0,59,16,inspection
Sona Masoori,398,16,15,16.1,58,1,inspection
Ponni,225,4,4,11.6,66,6,inspection
Sona Masoori,441,24,2,11.8,78,46,inspection
Ponni,173,13,7,16.5,52,93,inspection
Ponni,214,21,9,13.9,51,7,inspection
Swarna,411,6,1,12.1,95,56,inspection
Ponni,135,9,3,11.8,67,79,inspection
Basmati,255,12,7,16.8,83,37,inspection
Sona Masoori,466,41,12,15.2,91,83,inspection
IR-64,280,11,6,13.9,64,52,inspection
Swarna,433,30,8,12.0,77,40,inspection
IR-64,411,34,1,16.4,54,11,inspection
Sona Masoori,441,6,21,15.4,58,71,inspection
Ponni,228,20,10,15.1,76,45,inspection
Swarna,429,16,2,11.8,68,76,inspection
Ponni,168,14,2,12.3,80,28,inspection
Ponni,248,7,5,12.1,67,73,inspection
Ponni,452,30,0,15.8,89,86,inspection
Jasmine,484,16,18,15.2,51,23,inspection
Basmati,239,16,0,11.5,59,72,inspection
Jasmine,384,22,7,16.7,55,95,inspection
Swarna,234,9,11,12.3,69,92,inspection
Ponni,103,8,0,16.2,59,20,inspection
Sona Masoori,199,12,4,13.8,77,62,inspection
IR-64,446,8,15,14.2,72,55,inspection
Ponni,309,9,15,14.3,69,5,inspection
Sona Masoori,63,4,0,12.6,63,17,inspection
Sona Masoori,63,1,1,14.1,77,22,inspection
IR-64,316,5,13,14.5,92,45,inspection
Sona Masoori,283,17,8,11.6,54,40,inspection
Jasmine,387,4,6,13.7,57,51,inspection
Ponni,295,14,1,15.9,73,11,inspection
