humidity_pct,wind_kmh,temp_c,rain_risk_pct,recommended_action
80,9,20,94,stop unloading and alert operators
57,17,27,17,normal unloading
87,8,37,11,normal unloading
77,29,21,3,normal unloading
45,15,27,64,cover open yard
78,3,37,25,monitor tarpaulin
85,28,27,57,prepare covers
77,19,20,97,stop unloading and alert operators
91,12,33,43,prepare covers
57,11,26,97,stop unloading and alert operators
61,8,22,48,prepare covers
46,24,31,77,cover open yard
56,4,34,68,cover open yard
47,26,22,70,cover open yard
58,25,38,24,monitor tarpaulin
85,6,21,84,stop unloading and alert operators
54,20,22,29,monitor tarpaulin
95,8,32,35,monitor tarpaulin
69,25,25,47,prepare covers
62,15,28,89,stop unloading and alert operators
83,6,39,81,stop unloading and alert operators
50,17,25,59,prepare covers
64,19,40,88,stop unloading and alert operators
75,16,30,98,stop unloading and alert operators
89,5,27,4,normal unloading
91,22,32,34,monitor tarpaulin
44,15,38,91,stop unloading and alert operators
60,15,40,63,cover open yard
65,31,24,33,monitor tarpaulin
48,17,37,68,cover open yard
56,29,38,51,prepare covers
63,16,24,65,cover open yard
71,7,21,14,normal unloading
49,12,33,76,cover open yard
44,26,32,76,cover open yard
69,35,28,70,cover open yard
95,2,23,87,stop unloading and alert operators
74,19,40,43,prepare covers
47,20,33,20,monitor tarpaulin
69,2,28,64,cover open yard
88,13,36,13,normal unloading
95,21,40,64,cover open yard
78,14,24,47,prepare covers
88,12,37,99,stop unloading and alert operators
73,2,39,41,prepare covers
71,3,23,46,prepare covers
93,21,27,7,normal unloading
55,7,22,93,stop unloading and alert operators
71,6,37,98,stop unloading and alert operators
48,10,35,70,cover open yard
50,18,36,77,cover open yard
67,15,37,96,stop unloading and alert operators
86,14,29,51,prepare covers
82,25,34,66,cover open yard
68,9,27,28,monitor tarpaulin
44,23,20,75,cover open yard
75,16,38,28,monitor tarpaulin
40,6,40,7,normal unloading
54,6,21,42,prepare covers
44,34,27,35,monitor tarpaulin
82,33,26,69,cover open yard
48,32,27,100,stop unloading and alert operators
70,28,26,12,normal unloading
46,29,31,54,prepare covers
66,31,21,86,stop unloading and alert operators
81,8,21,51,prepare covers
86,23,23,31,monitor tarpaulin
52,14,37,57,prepare covers
48,29,25,35,monitor tarpaulin
69,17,22,56,prepare covers
91,8,21,83,stop unloading and alert operators
74,2,22,96,stop unloading and alert operators
94,17,25,52,prepare covers
71,32,26,51,prepare covers
43,12,32,0,normal unloading
64,18,34,36,monitor tarpaulin
67,33,24,24,monitor tarpaulin
58,15,21,74,cover open yard
87,5,30,7,normal unloading
43,32,36,67,cover open yard
50,5,36,10,normal unloading
94,13,22,76,cover open yard
44,17,32,15,normal unloading
76,17,38,76,cover open yard
42,7,33,84,stop unloading and alert operators
77,35,30,33,monitor tarpaulin
53,22,27,33,monitor tarpaulin
65,10,40,38,monitor tarpaulin
69,22,22,1,normal unloading
69,8,22,68,cover open yard
53,34,28,16,normal unloading
62,6,27,47,prepare covers
