route,load,variety,priority,preferred_status,eta_minutes,rain_safe
Khed to Warehouse A,62 bags Basmati,Basmati,8,standby,50,True
Khed to Warehouse C,329 bags Sona Masoori,Sona Masoori,19,ready,23,True
Moshi to Warehouse A,169 bags Ponni,Ponni,20,standby,158,True
Daund to Warehouse C,409 bags Ponni,Ponni,14,standby,129,False
Indapur to Warehouse A,438 bags IR-64,IR-64,14,ready,86,True
Hadapsar to Warehouse B,102 bags Sona Masoori,Sona Masoori,13,standby,106,False
Pimpri to Warehouse B,463 bags Sona Masoori,Sona Masoori,15,scheduled,46,False
Moshi to Warehouse C,200 bags Ponni,Ponni,12,scheduled,64,True
Sanaswadi to Warehouse C,166 bags Basmati,Basmati,3,standby,40,False
Wagholi to Warehouse B,375 bags Basmati,Basmati,6,ready,105,True
Khed to Warehouse B,409 bags Sona Masoori,Sona Masoori,20,scheduled,58,True
Talegaon to Warehouse B,244 bags Basmati,Basmati,18,standby,98,True
Hadapsar to Warehouse A,462 bags Basmati,Basmati,13,ready,31,True
Lonikand to Warehouse C,498 bags Basmati,Basmati,7,scheduled,142,False
Lonikand to Warehouse C,284 bags IR-64,IR-64,9,standby,78,False
Daund to Warehouse C,269 bags Ponni,Ponni,13,ready,71,True
Shirur to Warehouse B,96 bags Sona Masoori,Sona Masoori,4,standby,175,True
Indapur to Warehouse C,266 bags Ponni,Ponni,3,ready,112,False
Shirur to Warehouse B,333 bags Sona Masoori,Sona Masoori,4,scheduled,152,False
Indapur to Warehouse C,224 bags Sona Masoori,Sona Masoori,10,ready,55,False
Sanaswadi to Warehouse C,498 bags Basmati,Basmati,17,standby,144,True
Bhosari to Warehouse C,202 bags Ponni,Ponni,20,standby,54,False
Indapur to Warehouse A,326 bags Ponni,Ponni,1,scheduled,97,False
Sanaswadi to Warehouse A,235 bags Basmati,Basmati,8,standby,76,True
Moshi to Warehouse C,298 bags Sona Masoori,Sona Masoori,18,standby,47,False
Shirur to Warehouse A,185 bags Ponni,Ponni,20,ready,69,True
Daund to Warehouse B,254 bags Basmati,Basmati,15,scheduled,130,True
Hadapsar to Warehouse A,82 bags Basmati,Basmati,1,scheduled,156,True
Pimpri to Warehouse A,53 bags Sona Masoori,Sona Masoori,2,standby,32,True
Bhosari to Warehouse B,86 bags Ponni,Ponni,8,ready,139,True
Shirur to Warehouse A,420 bags Ponni,Ponni,19,ready,77,False
Indapur to Warehouse B,147 bags Sona Masoori,Sona Masoori,4,scheduled,125,False
Chakan to Warehouse B,289 bags Sona Masoori,Sona Masoori,4,standby,118,False
